Date,Strength_7,Strength_28,avgTemp,Rainfall_Code
01/04/2024,27.66666667,39.33333333,26.8,1
02/04/2024,28.33333333,39.66666667,26.9,0
03/04/2024,26.66666667,38.66666667,27.1,1
04/04/2024,27.33333333,39.66666667,26.5,1
05/04/2024,27,38,26.7,1
06/04/2024,25,38,27.2,0
07/04/2024,26.66666667,39,27.7,0
08/04/2024,25.66666667,37.26666667,27.1,0
10/04/2024,26.66666667,40.33333333,26.4,1
11/04/2024,25.66666667,34.33333333,27.6,0
12/04/2024,26.33333333,32.33333333,26.8,1
13/04/2024,25,34.33333333,26.8,1
14/04/2024,26.66666667,34.33333333,26.6,1
15/04/2024,25.66666667,38,27.6,1
17/04/2024,27.66666667,41.33333333,25.8,1
18/04/2024,25.66666667,40.33333333,26.7,0
19/04/2024,26.33333333,39.33333333,26.9,1
20/04/2024,26.33333333,37,26.9,1
21/04/2024,26.66666667,41.33333333,26.9,1
22/04/2024,25.66666667,40.66666667,26.6,1
24/04/2024,27,38.66666667,27.4,0
25/04/2024,25.66666667,37.33333333,26.6,1
26/04/2024,25.66666667,40.33333333,26.7,0
27/04/2024,27.33333333,39,27.1,0
28/04/2024,25.33333333,37.66666667,27.2,0
29/04/2024,25.66666667,36.66666667,28,0
02/05/2024,26.33333333,34.33333333,26.6,1
03/05/2024,25.33333333,34,27,1
04/05/2024,26.66666667,40.33333333,26,1
05/05/2024,25.66666667,41,26.7,1
06/05/2024,27.66666667,35.33333333,27,1
08/05/2024,26.33333333,34.66666667,26.4,1
09/05/2024,27.66666667,40.66666667,26.9,1
11/05/2024,25.66666667,41,27,1
12/05/2024,26,33,27,1
13/05/2024,26.33333333,31,27.3,1
15/05/2024,26.33333333,39,26.9,1
15/05/2024,25.66666667,33.66666667,26.9,1
16/05/2024,27.66666667,34,26.2,1
17/05/2024,26,40.33333333,27.3,0
18/05/2024,26.33333333,36.66666667,27.2,0
19/05/2024,26,39.33333333,27.9,1
20/05/2024,25.66666667,32.33333333,27.6,1
22/05/2024,26.66666667,37.33333333,26.5,1
23/05/2024,25.66666667,38,27.9,0
24/05/2024,26.33333333,39.66666667,26.7,0
25/05/2024,26.33333333,39,27.1,1
26/05/2024,26,32,27.2,1
27/05/2024,25.33333333,34.33333333,26.7,1
29/05/2024,27.66666667,36.66666667,27.6,1
30/05/2024,28,38.33333333,27.8,0
31/05/2024,26.33333333,40.66666667,27.5,1
01/06/2024,27.66666667,39.66666667,26.1,1
02/06/2024,25.33333333,36,25.9,1
05/06/2024,26,36,27.4,0
06/06/2024,25.33333333,38,26.5,1
07/06/2024,26,37,27.5,0
08/06/2024,25,38,26.9,0
09/06/2024,26,37.66666667,26.8,0
10/06/2024,27,38.66666667,27.7,0
12/06/2024,24.33333333,37.33333333,27.7,0
13/06/2024,27,38,27.9,0
14/06/2024,28.66666667,36,27.1,0
15/06/2024,25.33333333,37.66666667,26.9,1
16/06/2024,26.33333333,38,26.5,0
17/06/2024,28,36.33333333,26.5,0
19/06/2024,25.33333333,36.66666667,27.1,0
20/06/2024,26,36.66666667,26.2,0
21/06/2024,27.33333333,37.33333333,26.2,1
01/07/2024,25,38,26.3,0
03/07/2024,26.33333333,36.66666667,27.3,0
04/07/2024,26.66666667,37,26.5,1
05/07/2024,25,36.66666667,27.6,0
06/07/2024,25.66666667,34.33333333,26.9,1
08/07/2024,26,36.33333333,25.9,1
10/07/2024,25.33333333,38,25.9,0
11/07/2024,26,37.66666667,26.4,0
12/07/2024,25.33333333,38.66666667,26.1,1
13/07/2024,26.33333333,37.33333333,27.1,0
14/07/2024,27,38,26.8,0
15/07/2024,28.66666667,31,27.2,0
17/07/2024,25.33333333,33.66666667,28,0
18/07/2024,26.33333333,38,28.4,0
19/07/2024,28,36.66666667,28,0
20/07/2024,25.33333333,37.33333333,28.3,0
21/07/2024,26,40.66666667,28.4,0
22/07/2024,27.33333333,37.33333333,28.1,0
24/07/2024,25.66666667,33.33333333,29,0
25/07/2024,26.33333333,36.66666667,29.2,0
26/07/2024,26.66666667,37,29.2,0
27/07/2024,25,38,29.5,0
28/07/2024,25.66666667,31.66666667,29.8,0
29/07/2024,26,40.33333333,28.6,0
01/08/2024,26.66666667,39,28.7,0
02/08/2024,27.66666667,37.66666667,28.3,0
03/08/2024,25.66666667,32.33333333,28,1
04/08/2024,25.66666667,37,25.9,1
05/08/2024,26.66666667,37,27,0
07/08/2024,25.66666667,41.33333333,25.8,1
08/08/2024,27.33333333,40.66666667,26.9,1
09/08/2024,25.66666667,38.66666667,27.2,1
10/08/2024,25.66666667,37.33333333,26.8,1
11/08/2024,26.33333333,40.33333333,25.1,1
12/08/2024,26.66666667,38.33333333,26.7,0
14/08/2024,25,38,27.5,0
15/08/2024,27.33333333,39.33333333,27.4,1
16/08/2024,26.66666667,33.66666667,26.3,1
17/08/2024,25.66666667,30.66666667,25.8,1
18/08/2024,27.66666667,41.33333333,27.5,1
19/08/2024,25.66666667,40.33333333,26.5,1
21/08/2024,26.33333333,39.33333333,25.5,0
22/08/2024,26,37,26.1,1
23/08/2024,26.66666667,41.33333333,25.7,1
24/08/2024,25.66666667,40.66666667,26.3,1
25/08/2024,27,38.66666667,25.1,1
26/08/2024,25.66666667,37.33333333,25.5,1
28/08/2024,25.66666667,40.33333333,26.1,0
29/08/2024,27.33333333,39,27.1,0
30/08/2024,25.33333333,38.33333333,27.3,0
04/09/2024,26.66666667,37.66666667,27.1,0
05/09/2024,26.33333333,37,26.9,0
06/09/2024,25.33333333,36,27.2,1
07/09/2024,26.66666667,40.33333333,26.8,1
08/09/2024,25.66666667,41,27,0
09/09/2024,27.66666667,38.33333333,26.3,1
11/09/2024,26.33333333,37.33333333,27.2,0
12/09/2024,27.66666667,40.66666667,26.3,1
13/09/2024,25.66666667,41,26,0
14/09/2024,26,38,27,0
15/09/2024,26.33333333,36.33333333,26.5,1
18/09/2024,26.33333333,39,26,1
19/09/2024,25.66666667,38,27,0
20/09/2024,27.66666667,37.66666667,27.3,0
22/09/2024,25.33333333,39.66666667,27.8,0
23/09/2024,26.33333333,36.66666667,27.8,0
25/09/2024,26,39.66666667,26.8,0
26/09/2024,25,36,24.9,1
27/09/2024,26.66666667,36.33333333,26.8,0
28/09/2024,25,36,26.7,0
29/09/2024,25.33333333,38.33333333,26.1,0
30/09/2024,26.33333333,39,26.3,1
01/10/2024,24.33333333,40.66666667,26,1
04/10/2024,23.66666667,37.33333333,25.9,1
04/10/2024,23.33333333,38,25.9,1
06/10/2024,25,36.66666667,25.7,1
06/10/2024,23,37,25.7,1
06/10/2024,23.33333333,38,25.7,1
09/10/2024,23.66666667,38.33333333,27.3,0
09/10/2024,25.66666667,40.33333333,27.3,0
12/10/2024,25.66666667,39,25.7,1
12/10/2024,23.33333333,37.66666667,25.7,1
12/10/2024,26.33333333,36.66666667,25.7,1
15/10/2024,25.66666667,37,25.8,1
15/10/2024,27,37,25.8,1
15/10/2024,25.66666667,41.33333333,25.8,1
19/10/2024,23.33333333,40.66666667,27.3,0
19/10/2024,24.66666667,38.66666667,27.3,0
