Date,Max Temp (C),Min Temp (C),Mean Temp (C),Rainfall (mm),Mean Humidity (%),Max Humidity (%),Min Humidity (%),Max Wind Speed (km/h),Wind Direction (deg),Pressure (hPa)
2024-11-29,26.9,23.8,25.0,36.1,94,99,83,7.5,136,1007.1
2024-11-30,31.0,23.6,26.6,1.7,87,100,65,9.6,324,1006.1
2024-12-01,30.3,23.7,26.3,10.7,89,100,69,10.1,304,1006.1
2024-12-02,30.5,24.0,26.0,30.3,92,99,72,12.6,114,1006.1
2024-12-03,29.3,23.7,25.7,27.6,92,98,76,7.0,93,1006.7
2024-12-04,28.5,23.7,25.7,12.1,92,99,78,6.9,322,1006.8
2024-12-05,30.3,23.8,26.3,11.3,87,96,66,9.6,349,1006.4
2024-12-06,31.6,24.5,27.8,1.3,80,94,61,6.9,286,1005.6
2024-12-07,32.2,24.3,27.9,0.0,77,88,58,11.2,314,1005.8
2024-12-08,32.5,24.8,27.3,18.5,84,98,57,8.2,24,1006.4
2024-12-09,25.4,24.3,24.8,27.3,97,99,94,11.0,335,1007.1
2024-12-10,26.7,23.6,24.9,24.7,92,99,82,9.7,334,1006.4
2024-12-11,29.7,23.5,26.4,2.2,86,96,71,14.7,323,1005.4
2024-12-12,30.2,23.9,26.7,4.7,84,96,67,12.7,321,1004.7
2024-12-13,29.9,24.4,26.5,4.5,85,96,69,10.9,329,1005.4
2024-12-14,30.8,23.2,26.2,8.2,85,98,65,12.3,335,1006.3
2024-12-15,32.0,24.1,27.7,0.2,81,93,63,9.0,318,1007.0
2024-12-16,31.2,23.6,26.5,28.4,88,98,68,10.1,340,1007.9
2024-12-17,31.0,24.1,26.6,7.1,89,99,68,8.0,303,1007.7
2024-12-18,30.0,23.6,26.3,16.5,90,99,70,7.4,329,1007.7
2024-12-19,30.1,23.8,26.1,35.7,89,99,65,9.1,324,1008.1
2024-12-20,30.4,23.9,25.9,35.2,91,99,69,8.9,234,1007.8
2024-12-21,28.4,23.9,25.6,15.3,92,99,79,7.9,296,1008.0
2024-12-22,29.7,23.7,26.2,5.2,89,99,73,10.3,183,1007.4
2024-12-23,29.3,23.9,25.6,22.5,92,100,75,8.4,262,1007.5
2024-12-24,29.8,23.9,25.8,35.7,90,99,72,10.1,127,1007.3
2024-12-25,27.7,22.8,25.1,13.8,91,98,77,7.0,119,1008.6
2024-12-26,29.1,24.2,26.2,0.8,89,99,70,6.7,125,1009.4
2024-12-27,30.2,23.6,26.1,1.8,87,95,69,11.3,117,1009.4
2024-12-28,31.0,22.7,26.0,21.3,86,98,66,8.0,120,1009.2
2024-12-29,31.2,23.5,26.1,12.8,88,99,65,10.3,43,1008.8
