Date,Max Temp (C),Min Temp (C),Mean Temp (C),Rainfall (mm),Mean Humidity (%),Max Humidity (%),Min Humidity (%),Max Wind Speed (km/h),Wind Direction (deg),Pressure (hPa),Rainfall_Code
01/04/2024,29.9,24.6,26.8,19.3,91,98,82,13.9,325,1008.3,Yes
02/04/2024,30.8,24.7,26.9,5.5,90,97,79,10.7,134,1007.3,No
03/04/2024,31.2,24.8,27.1,19.4,87,96,71,15.3,92,1007.4,Yes
04/04/2024,30.3,23.5,26.5,10.2,90,99,75,13.3,290,1007.3,Yes
05/04/2024,31.8,23.2,26.7,23.5,89,98,74,11.6,252,1006.6,Yes
06/04/2024,31.8,23.5,27.2,5.6,87,99,73,11.1,165,1006.4,No
07/04/2024,32.3,24.8,27.7,4.8,87,96,69,8.9,170,1005.7,No
08/04/2024,30.9,24.1,27.1,5.9,87,97,71,12.5,185,1007,No
09/04/2024,30.7,23.7,26.5,36.5,92,99,80,13.2,291,1007.1,Yes
10/04/2024,29.8,24.4,26.4,11.6,93,100,81,11.6,219,1007.9,Yes
11/04/2024,32.2,24.1,27.6,0.6,85,99,62,9.2,155,1007.1,No
12/04/2024,31.8,23.8,26.8,19.2,89,100,67,13.4,130,1007.2,Yes
13/04/2024,31.9,24,26.8,35.6,90,99,74,10.9,24,1007.1,Yes
14/04/2024,30.7,24,26.6,47.4,90,99,76,12.5,110,1008.2,Yes
15/04/2024,32.5,24.9,27.6,18.5,87,96,65,14.6,91,1008,Yes
16/04/2024,30.3,24.2,26.5,18,91,97,81,9.7,16,1007.3,Yes
17/04/2024,28.2,24,25.8,11.4,94,98,86,14.3,163,1007.6,Yes
18/04/2024,29.9,24.8,26.7,5.1,90,98,77,10.5,97,1006.9,No
19/04/2024,30.4,24.9,26.9,18.4,90,96,75,10.2,79,1005.8,Yes
20/04/2024,30.4,24.8,26.9,31,92,98,81,11.8,318,1005.9,Yes
21/04/2024,31.5,24.1,26.9,28.5,89,99,74,14.7,330,1006.3,Yes
22/04/2024,30.6,24.2,26.6,41.6,92,99,79,8.7,123,1006.3,Yes
23/04/2024,31.4,24.1,26.9,11.1,90,98,71,11.9,115,1006,Yes
24/04/2024,31.7,24.8,27.4,5.4,87,95,71,15.8,128,1005.5,No
25/04/2024,28.8,25.2,26.6,52.3,92,98,83,13,270,1005.7,Yes
26/04/2024,30.4,24.1,26.7,6.1,91,99,78,8.9,338,1005.6,No
27/04/2024,31.6,24.6,27.1,6.7,91,100,73,14,158,1005.5,No
28/04/2024,31.1,24.2,27.2,3.6,90,99,79,17.1,120,1006.6,No
29/04/2024,32,24.7,28,2.4,87,97,69,8.6,18,1006.4,No
30/04/2024,30.9,24.9,27.6,9.3,89,99,77,11.8,133,1005.5,No
01/05/2024,30.7,25.2,27.2,25.9,90,98,78,14.2,162,1005,Yes
02/05/2024,29.5,24.3,26.6,34.9,90,97,80,12,110,1005.7,Yes
03/05/2024,30.9,24.9,27,20.3,90,99,76,13.2,141,1006.2,Yes
04/05/2024,28.3,24.5,26,10.6,92,98,81,8.7,222,1007.8,Yes
05/05/2024,30.7,24.7,26.7,15.2,93,100,81,14.2,108,1006.2,Yes
06/05/2024,30.7,25.1,27,30.3,88,95,74,10.6,110,1006.8,Yes
07/05/2024,31.4,24,26.6,24.9,89,98,70,16.9,126,1008.1,Yes
08/05/2024,30.8,23.8,26.4,18,92,99,83,11.1,96,1007.4,Yes
09/05/2024,30.9,24.1,26.9,16,91,99,82,9.1,159,1006,Yes
10/05/2024,31.5,24.9,27.7,13.7,89,99,72,10.7,146,1006.5,Yes
11/05/2024,30.3,25,27,93.7,92,98,79,12.7,64,1007.8,Yes
12/05/2024,31.2,25.1,27,19.8,91,97,74,13.8,128,1007.5,Yes
13/05/2024,31.2,24.8,27.3,31,90,98,77,8.7,69,1006.6,Yes
14/05/2024,30.3,24.5,26.7,36.8,92,99,83,13.9,91,1006.9,Yes
15/05/2024,30.1,24.2,26.9,14.3,91,99,81,16.3,156,1007.2,Yes
16/05/2024,29.6,24.3,26.2,88.3,91,98,78,10.5,119,1007.7,Yes
17/05/2024,30.6,25,27.3,8.7,89,99,76,11.5,131,1006.7,No
18/05/2024,30.9,24.6,27.2,6.2,90,99,73,16.3,155,1005.9,No
19/05/2024,30.7,25.7,27.9,29.6,86,94,72,10.1,138,1004.7,Yes
20/05/2024,31,25,27.6,17.8,88,96,78,13.1,150,1005.3,Yes
21/05/2024,30.6,25,27,25.3,91,98,76,11.5,122,1006.1,Yes
22/05/2024,29.4,24.8,26.5,51.4,91,97,79,12.2,98,1006.6,Yes
23/05/2024,32.5,25,27.9,9.5,87,97,67,14.4,18,1005.8,No
24/05/2024,29.9,24.5,26.7,7.3,89,96,73,15.3,136,1005.8,No
25/05/2024,31.2,24.3,27.1,23.5,92,100,79,8,94,1006.5,Yes
26/05/2024,32.2,25,27.2,15,90,99,67,11,133,1007.4,Yes
27/05/2024,30.3,25.2,26.7,22,93,98,83,13.5,46,1006.6,Yes
28/05/2024,29.2,25.2,26.9,25.9,90,98,80,11.5,100,1006.9,Yes
29/05/2024,29.4,25.5,27.6,15,89,96,83,11,149,1006.4,Yes
30/05/2024,30.8,25.4,27.8,3.8,88,99,78,13.7,145,1006.5,No
31/05/2024,30.7,25.6,27.5,32.9,88,96,76,14.4,138,1007.2,Yes
01/06/2024,30.2,24.2,26.1,46.1,92,97,78,16.2,103,1009,Yes
02/06/2024,28.2,24.4,25.9,17.6,92,96,85,15.6,102,1009.5,Yes
03/06/2024,29.8,24.2,26.4,24.5,91,99,76,9.5,18,1009.1,Yes
04/06/2024,30.4,23.9,26.5,26.3,90,98,76,10.8,139,1009.1,Yes
05/06/2024,31.5,24.1,27.4,2.8,87,98,68,10.7,132,1008.9,No
06/06/2024,28.7,24,26.5,30.9,90,99,81,13.3,133,1009.6,Yes
07/06/2024,31.4,24.4,27.5,6.2,84,98,64,8.7,336,1008.4,No
08/06/2024,30.6,24.4,26.9,3.7,87,96,73,14.2,343,1007.7,No
09/06/2024,29.3,24,26.8,0.7,88,96,78,11.6,290,1007.9,No
10/06/2024,31.7,24.1,27.7,0,82,97,62,7.7,63,1008.6,No
11/06/2024,31.5,24.6,28,0,83,97,66,7.4,153,1009.1,No
12/06/2024,31.2,25,27.7,8.8,83,96,66,10.1,143,1009.8,No
13/06/2024,31.8,24,27.9,0.1,80,98,61,11.2,310,1008.8,No
14/06/2024,29.5,24.9,27.1,7.2,87,93,75,9.3,330,1007.4,No
15/06/2024,29.9,24.3,26.9,12.2,88,96,74,12.3,332,1006.6,Yes
