Date,Max Temp (C),Min Temp (C),Mean Temp (C),Rainfall (mm),Mean Humidity (%),Max Humidity (%),Min Humidity (%),Max Wind Speed (km/h),Wind Direction (deg),Pressure (hPa),AvgTemp_0to7,AvgTemp_0to28,GDD_28,TotalRainfall_7,TotalRainfall_28,AvgHumidity_7,AvgHumidity_28
01/04/2024,29.9,24.6,26.8,19.3,91,98,82,13.9,325,1008.3,26.98571429,26.875,752.5,88.3,502.8,76.28571429,89.75
02/04/2024,30.8,24.7,26.9,5.5,90,97,79,10.7,134,1007.3,27.02857143,26.91785714,753.7,74.9,485.9,75.71428571,89.60714286
03/04/2024,31.2,24.8,27.1,19.4,87,96,71,15.3,92,1007.4,26.97142857,26.94285714,754.4,105.9,489.7,75.28571429,89.57142857
04/04/2024,30.3,23.5,26.5,10.2,90,99,75,13.3,290,1007.3,26.87142857,26.94642857,754.5,98.1,496.2,76,89.67857143
05/04/2024,31.8,23.2,26.7,23.5,89,98,74,11.6,252,1006.6,27.02857143,26.95,754.6,88.5,520.9,76.42857143,89.67857143
06/04/2024,31.8,23.5,27.2,5.6,87,99,73,11.1,165,1006.4,27.04285714,26.96071429,754.9,84.2,517.7,75.85714286,89.71428571
07/04/2024,32.3,24.8,27.7,4.8,87,96,69,8.9,170,1005.7,26.98571429,26.91785714,753.7,114.2,522.7,76.14285714,89.89285714
08/04/2024,30.9,24.1,27.1,5.9,87,97,71,12.5,185,1007,26.82857143,26.88214286,752.7,156.8,533.1,76.57142857,90.10714286
09/04/2024,30.7,23.7,26.5,36.5,92,99,80,13.2,291,1007.1,26.9,26.87857143,752.6,169.4,557.5,77,90.14285714
10/04/2024,29.8,24.4,26.4,11.6,93,100,81,11.6,219,1007.9,26.9,26.88214286,752.7,150.9,545.9,76.28571429,90.03571429
11/04/2024,32.2,24.1,27.6,0.6,85,99,62,9.2,155,1007.1,26.81428571,26.88214286,752.7,150.7,552.3,76,90
12/04/2024,31.8,23.8,26.8,19.2,89,100,67,13.4,130,1007.2,26.68571429,26.85714286,752,155.2,567.7,77.28571429,90.21428571
13/04/2024,31.9,24,26.8,35.6,90,99,74,10.9,24,1007.1,26.7,26.88928571,752.9,154.4,562.2,77.42857143,90.21428571
14/04/2024,30.7,24,26.6,47.4,90,99,76,12.5,110,1008.2,26.71428571,26.89642857,753.1,149.8,620.3,77.42857143,90.28571429
15/04/2024,32.5,24.9,27.6,18.5,87,96,65,14.6,91,1008,26.75714286,26.91071429,753.5,130.9,592.7,77.71428571,90.32142857
16/04/2024,30.3,24.2,26.5,18,91,97,81,9.7,16,1007.3,26.61428571,26.9,753.2,154,605.2,78,90.42857143
17/04/2024,28.2,24,25.8,11.4,94,98,86,14.3,163,1007.6,26.67142857,26.90714286,753.4,147.1,624,78.14285714,90.46428571
18/04/2024,29.9,24.8,26.7,5.1,90,98,77,10.5,97,1006.9,26.9,26.94642857,754.5,141.1,626.9,77.57142857,90.35714286
19/04/2024,30.4,24.9,26.9,18.4,90,96,75,10.2,79,1005.8,26.88571429,26.92857143,754,188.3,710.1,77.14285714,90.39285714
20/04/2024,30.4,24.8,26.9,31,92,98,81,11.8,318,1005.9,26.85714286,26.94285714,754.4,176,700.4,77.42857143,90.35714286
21/04/2024,31.5,24.1,26.9,28.5,89,99,74,14.7,330,1006.3,26.88571429,26.95357143,754.7,151.7,675.6,77.28571429,90.28571429
22/04/2024,30.6,24.2,26.6,41.6,92,99,79,8.7,123,1006.3,26.92857143,26.98928571,755.7,126.8,676.7,77.57142857,90.17857143
23/04/2024,31.4,24.1,26.9,11.1,90,98,71,11.9,115,1006,27.12857143,27.025,756.7,87.6,652.9,77.28571429,90.03571429
24/04/2024,31.7,24.8,27.4,5.4,87,95,71,15.8,128,1005.5,27.22857143,27.02857143,756.8,85.8,667.1,76.85714286,90.07142857
25/04/2024,28.8,25.2,26.6,52.3,92,98,83,13,270,1005.7,27.2,26.99642857,755.9,106.3,713.1,77.14285714,90.21428571
26/04/2024,30.4,24.1,26.7,6.1,91,99,78,8.9,338,1005.6,27.2,27.04285714,757.2,88.9,670.3,76.85714286,90.03571429
27/04/2024,31.6,24.6,27.1,6.7,91,100,73,14,158,1005.5,27.24285714,27.04285714,757.2,103.1,671.5,76.71428571,89.96428571
28/04/2024,31.1,24.2,27.2,3.6,90,99,79,17.1,120,1006.6,27.08571429,27.04285714,757.2,107,688.3,76.57142857,90
29/04/2024,32,24.7,28,2.4,87,97,69,8.6,18,1006.4,27.01428571,27.04285714,757.2,118.6,699.7,76.85714286,90
30/04/2024,30.9,24.9,27.6,9.3,89,99,77,11.8,133,1005.5,26.87142857,26.99642857,755.9,146.5,719.3,77.71428571,90.21428571
01/05/2024,30.7,25.2,27.2,25.9,90,98,78,14.2,162,1005,26.72857143,26.97142857,755.2,162.1,735.9,77.57142857,90.25
02/05/2024,29.5,24.3,26.6,34.9,90,97,80,12,110,1005.7,26.61428571,26.98571429,755.6,154.2,725,77.42857143,90.21428571
03/05/2024,30.9,24.9,27,20.3,90,99,76,13.2,141,1006.2,26.65714286,27.02857143,756.8,135.3,693.9,77.71428571,90.14285714
04/05/2024,28.3,24.5,26,10.6,92,98,81,8.7,222,1007.8,26.75714286,27.04642857,757.3,128.7,706.5,77.85714286,90.07142857
05/05/2024,30.7,24.7,26.7,15.2,93,100,81,14.2,108,1006.2,26.9,27.05,757.4,211.8,742,77.42857143,90.07142857
06/05/2024,30.7,25.1,27,30.3,88,95,74,10.6,110,1006.8,26.94285714,27.02142857,756.6,216.4,744.4,77.28571429,90.03571429
07/05/2024,31.4,24,26.6,24.9,89,98,70,16.9,126,1008.1,26.98571429,27,756,217.1,738.6,77.71428571,90.14285714
08/05/2024,30.8,23.8,26.4,18,92,99,83,11.1,96,1007.4,27,26.99642857,755.9,229,740,77.85714286,90.17857143
09/05/2024,30.9,24.1,26.9,16,91,99,82,9.1,159,1006,27.07142857,27.03214286,756.9,225.3,724.8,77.85714286,90
10/05/2024,31.5,24.9,27.7,13.7,89,99,72,10.7,146,1006.5,26.97142857,27.01785714,756.5,297.6,739.7,77.85714286,89.96428571
11/05/2024,30.3,25,27,93.7,92,98,79,12.7,64,1007.8,26.91428571,27.01071429,756.3,292.6,732.2,78.14285714,89.78571429
