iter	RMSE
0	15.91690915
1	15.17540912
2	14.42579332
3	13.77972962
4	13.13199463
5	12.58221029
6	12.1523661
7	11.67407084
8	11.26139561
9	10.89211023
10	10.55667749
11	10.27825294
12	9.960873023
13	9.712027343
14	9.47782589
15	9.237263919
16	9.037817361
17	8.827035876
18	8.633254762
19	8.44373417
20	8.299426551
21	8.188091652
22	8.043158444
23	7.874440365
24	7.752227158
25	7.652743551
26	7.561423441
27	7.461403563
28	7.361556079
29	7.282406815
30	7.183974685
31	7.126026944
32	7.057876614
33	6.977909657
34	6.903625445
35	6.818417156
36	6.73989113
37	6.702875492
38	6.655310716
39	6.596838864
40	6.553438064
41	6.488171019
42	6.438685965
43	6.4041585
44	6.356181286
45	6.317296949
46	6.278179496
47	6.239497739
48	6.203896035
49	6.167382819
50	6.133032849
51	6.103639623
52	6.068496449
53	6.040761683
54	6.007853139
55	5.966589478
56	5.946641627
57	5.918492833
58	5.877910397
59	5.854858616
60	5.814654025
61	5.777251459
62	5.751261169
63	5.719835149
64	5.693650077
65	5.66823371
66	5.64663379
67	5.614802383
68	5.586209199
69	5.557088087
70	5.529561655
71	5.515047845
72	5.492292673
73	5.467855426
74	5.44182525
75	5.421518667
76	5.413131339
77	5.399619629
78	5.386329618
79	5.354305096
80	5.329243143
81	5.311150568
82	5.287456508
83	5.266541801
84	5.253916984
85	5.241759162
86	5.230852571
87	5.210111672
88	5.188239103
89	5.173264309
90	5.164339852
91	5.136071948
92	5.110901264
93	5.096186273
94	5.081474208
95	5.072962832
96	5.052061965
97	5.042575025
98	5.034717008
99	5.015805655
100	5.008844485
101	4.992024729
102	4.971785903
103	4.957187403
104	4.933674365
105	4.92452155
106	4.909613509
107	4.891897093
108	4.872496905
109	4.868513904
110	4.853635525
111	4.840548449
112	4.829990988
113	4.820748216
114	4.808714638
115	4.791877455
116	4.783101693
117	4.76928364
118	4.752110055
119	4.739302826
120	4.727973475
121	4.712549462
122	4.708491629
123	4.69172535
124	4.685659803
125	4.666032649
126	4.655147471
127	4.652004098
128	4.645023352
129	4.630288625
130	4.618907171
131	4.608547609
132	4.589913016
133	4.586875689
134	4.577655276
135	4.574891935
136	4.55762569
137	4.547958411
138	4.538659199
139	4.52892772
140	4.519422275
141	4.5106449
142	4.490152028
143	4.476763014
144	4.471555725
145	4.465281486
146	4.460665599
147	4.453557281
148	4.445039264
149	4.432492447
150	4.429198496
151	4.416008342
152	4.405123146
153	4.394374439
154	4.38556634
155	4.382785546
156	4.365728241
157	4.356389013
158	4.351046072
159	4.334081919
160	4.32963825
161	4.325955243
162	4.319284846
163	4.305586533
164	4.301280262
165	4.290025472
166	4.279509138
167	4.269213041
168	4.266949555
169	4.264772852
170	4.25374921
171	4.246383833
172	4.244492776
173	4.232940342
174	4.22930859
175	4.22120267
176	4.214812821
177	4.204974016
178	4.191176727
179	4.189759927
180	4.177508867
181	4.170186485
182	4.168897859
183	4.161907586
184	4.155329003
185	4.150262962
186	4.143369299
187	4.13206238
188	4.130896861
189	4.119770682
190	4.113755357
191	4.112665306
192	4.108086817
193	4.107045868
194	4.099904498
195	4.091795099
196	4.081188593
197	4.075499409
198	4.067696213
199	4.064322382
