iter	Passed	Remaining
0	0	55
1	0	46
2	0	43
3	0	41
4	1	39
5	1	38
6	1	37
7	1	37
8	1	36
9	1	36
10	2	35
11	2	36
12	2	35
13	2	36
14	3	37
15	3	37
16	3	37
17	3	36
18	3	36
19	4	37
20	4	36
21	4	36
22	4	36
23	4	36
24	5	36
25	5	36
26	5	36
27	5	35
28	6	35
29	6	35
30	6	34
31	6	34
32	6	34
33	6	34
34	7	33
35	7	33
36	7	33
37	7	33
38	7	32
39	8	32
40	8	32
41	8	32
42	8	31
43	8	31
44	9	32
45	9	31
46	9	31
47	9	31
48	10	31
49	10	30
50	10	30
51	10	30
52	11	30
53	11	30
54	11	30
55	11	29
56	11	29
57	11	29
58	12	28
59	12	28
60	12	28
61	12	28
62	12	28
63	13	27
64	13	27
65	13	27
66	13	27
67	13	26
68	13	26
69	14	26
70	14	26
71	14	25
72	14	25
73	14	25
74	14	24
75	15	24
76	15	24
77	15	24
78	15	24
79	15	23
80	16	23
81	16	23
82	16	23
83	16	23
84	16	22
85	17	22
86	17	22
87	17	22
88	17	21
89	17	21
90	17	21
91	18	21
92	18	20
93	18	20
94	18	20
95	18	20
96	18	20
97	19	19
98	19	19
99	19	19
100	19	19
101	19	19
102	19	18
103	20	18
104	20	18
105	20	18
106	20	17
107	20	17
108	21	17
109	21	17
110	21	17
111	21	17
112	21	16
113	21	16
114	22	16
115	22	16
116	22	16
117	22	15
118	22	15
119	23	15
120	23	15
121	23	14
122	23	14
123	23	14
124	23	14
125	24	14
126	24	13
127	24	13
128	24	13
129	24	13
130	24	13
131	25	12
132	25	12
133	25	12
134	25	12
135	25	12
136	25	11
137	25	11
138	26	11
139	26	11
140	26	11
141	26	10
142	26	10
143	26	10
144	27	10
145	27	10
146	27	9
147	27	9
148	27	9
149	27	9
150	27	9
151	28	8
152	28	8
153	28	8
154	28	8
155	28	8
156	28	7
157	29	7
158	29	7
159	29	7
160	29	7
161	29	7
162	30	6
163	30	6
164	30	6
165	30	6
166	30	6
167	30	5
168	31	5
169	31	5
170	31	5
171	31	5
172	31	4
173	31	4
174	32	4
175	32	4
176	32	4
177	32	4
178	32	3
179	32	3
180	33	3
181	33	3
182	33	3
183	33	2
184	33	2
185	34	2
186	34	2
187	34	2
188	34	2
189	34	1
190	34	1
191	35	1
192	35	1
193	35	1
194	35	0
195	35	0
196	36	0
197	36	0
198	36	0
199	36	0
