date,max_temp_c,min_temp_c,rainfall_mm
2024-11-29,26.9,23.8,36.1
2024-11-30,31.0,23.6,1.7
2024-12-01,30.3,23.7,10.7
2024-12-02,30.5,24.0,30.3
2024-12-03,29.3,23.7,27.6
2024-12-04,28.5,23.7,12.1
2024-12-05,30.3,23.8,11.3
2024-12-06,31.6,24.5,1.3
2024-12-07,32.2,24.3,0.0
2024-12-08,32.5,24.8,18.5
2024-12-09,25.4,24.3,27.3
2024-12-10,26.7,23.6,24.7
2024-12-11,29.7,23.5,2.2
2024-12-12,30.2,23.9,4.7
2024-12-13,29.9,24.4,4.5
2024-12-14,30.8,23.2,8.2
2024-12-15,32.0,24.1,0.2
2024-12-16,31.2,23.6,28.4
2024-12-17,31.0,24.1,7.1
2024-12-18,30.0,23.6,16.5
2024-12-19,30.1,23.8,35.7
2024-12-20,30.4,23.9,35.2
2024-12-21,28.4,23.9,15.3
2024-12-22,29.7,23.7,5.2
2024-12-23,29.3,23.9,22.5
2024-12-24,29.8,23.9,35.7
2024-12-25,27.7,22.8,13.8
2024-12-26,29.1,24.2,0.8
2024-12-27,30.2,23.6,1.8
2024-12-28,31.0,22.7,21.3
2024-12-29,31.2,23.5,12.8
2024-12-30,28.5,23.9,12.3
2024-12-31,29.3,23.4,12.1
2025-01-01,30.8,23.9,3.9
2025-01-02,31.5,23.5,0.9
2025-01-03,30.2,23.9,8.2
2025-01-04,30.2,23.1,24.3
2025-01-05,31.3,23.3,19.9
2025-01-06,30.2,23.5,28.7
2025-01-07,30.1,22.3,7.3
2025-01-08,31.7,23.6,2.6
2025-01-09,31.5,23.5,1.0
2025-01-10,28.5,23.1,14.1
2025-01-11,26.0,22.5,12.0
2025-01-12,28.9,23.3,11.3
2025-01-13,29.4,23.7,8.8
2025-01-14,31.4,23.0,15.1
2025-01-15,30.8,22.7,32.1
2025-01-16,30.3,22.8,15.6
2025-01-17,31.0,23.0,20.2
2025-01-18,29.3,23.7,17.7
2025-01-19,29.8,23.1,18.2
2025-01-20,30.7,23.0,0.0
2025-01-21,30.5,22.8,1.2
2025-01-22,30.8,23.9,1.7
2025-01-23,30.9,23.7,14.7
2025-01-24,29.2,23.0,17.7
2025-01-25,30.3,22.6,16.6
2025-01-26,28.6,23.2,16.8
2025-01-27,30.4,22.5,9.5
2025-01-28,26.6,23.5,17.1
2025-01-29,30.4,22.7,3.9
2025-01-30,30.6,22.5,0.0
2025-01-31,30.0,22.5,2.2
2025-02-01,30.4,23.0,0.8
2025-02-02,30.2,24.0,0.0
2025-02-03,33.1,22.0,0.0
2025-02-04,32.1,22.9,0.8
2025-02-05,29.6,23.3,15.2
2025-02-06,33.2,23.1,2.1
2025-02-07,31.4,23.8,1.6
2025-02-08,33.5,23.7,5.3
2025-02-09,32.1,23.8,0.2
2025-02-10,33.1,24.1,1.3
2025-02-11,33.4,24.2,4.1
2025-02-12,34.0,24.0,0.9
2025-02-13,34.9,24.2,2.3
2025-02-14,33.7,24.5,8.4
2025-02-15,30.0,23.0,18.2
2025-02-16,30.1,23.3,19.6
2025-02-17,31.3,23.1,6.4
2025-02-18,31.1,23.9,14.8
2025-02-19,31.2,22.3,2.9
2025-02-20,32.9,23.6,2.0
2025-02-21,30.1,23.6,9.2
2025-02-22,32.2,23.0,9.9
2025-02-23,31.3,22.7,31.7
2025-02-24,32.0,23.3,11.9
2025-02-25,31.6,23.9,0.6
2025-02-26,30.8,24.2,13.1
2025-02-27,32.0,23.4,18.6
2025-02-28,32.0,23.6,13.2
2025-03-01,32.7,22.7,1.2
2025-03-02,32.2,23.1,1.0
2025-03-03,32.2,23.8,3.3
2025-03-04,32.7,23.5,22.4
2025-03-05,32.0,23.3,28.3
2025-03-06,29.5,23.4,16.9
2025-03-07,32.9,23.7,0.4
2025-03-08,32.3,24.7,7.6
2025-03-09,33.1,25.1,4.7
2025-03-10,32.9,24.3,8.3
2025-03-11,31.3,24.1,9.0
2025-03-12,32.2,24.1,13.7
2025-03-13,31.8,24.0,3.0
2025-03-14,29.1,24.6,16.3
2025-03-15,33.0,23.8,2.5
2025-03-16,32.4,23.5,1.1
2025-03-17,32.3,23.5,1.0
2025-03-18,34.5,24.3,5.3
2025-03-19,34.3,24.2,4.3
2025-03-20,32.1,24.1,1.3
2025-03-21,33.4,23.9,3.0
2025-03-22,32.1,24.5,8.5
2025-03-23,34.6,24.0,16.9
2025-03-24,31.7,24.1,4.2
2025-03-25,30.6,23.5,6.0
2025-03-26,33.1,24.4,0.5
2025-03-27,32.1,23.6,6.9
2025-03-28,29.7,23.2,22.2
2025-03-29,32.6,24.3,6.1
2025-03-30,32.9,24.5,2.7
2025-03-31,31.5,23.5,20.7
2025-04-01,32.1,24.5,11.4
2025-04-02,31.6,23.8,40.4
2025-04-03,31.8,23.5,19.0
2025-04-04,30.1,24.1,9.4
2025-04-05,31.4,24.5,5.5
2025-04-06,31.9,23.8,25.4
2025-04-07,28.8,23.3,7.2
2025-04-08,30.4,24.0,4.1
2025-04-09,31.1,24.2,18.6
2025-04-10,31.3,25.0,6.6
2025-04-11,28.5,23.1,44.3
2025-04-12,31.1,23.8,5.9
2025-04-13,32.3,23.8,17.1
2025-04-14,30.6,23.1,15.5
2025-04-15,32.3,23.9,36.2
2025-04-16,31.5,24.2,27.3
2025-04-17,31.9,24.5,0.5
2025-04-18,32.2,24.9,8.3
2025-04-19,32.5,23.3,33.7
2025-04-20,31.1,22.6,15.9
2025-04-21,31.2,23.4,10.5
2025-04-22,31.1,24.2,24.8
2025-04-23,31.3,23.5,18.3
2025-04-24,31.1,23.5,9.5
2025-04-25,32.5,24.2,0.3
2025-04-26,31.1,24.1,4.8
2025-04-27,33.0,24.4,2.9
2025-04-28,32.7,23.8,12.6
2025-04-29,32.8,22.6,3.6
2025-04-30,31.4,23.4,11.4
2025-05-01,30.5,24.1,7.0
2025-05-02,31.4,23.8,5.3
2025-05-03,30.6,23.8,16.0
2025-05-04,28.1,24.0,5.4
2025-05-05,28.4,23.3,9.1
2025-05-06,32.2,24.5,1.5
2025-05-07,31.6,24.0,5.7
2025-05-08,32.2,24.2,5.5
